Iteration;Stock price;Amount available
636;160.0981752375;21074
637;126.9509992725;21074
638;140.3217319862;21075
639;176.6290892770;21076
640;169.0794982263;21076
641;182.3413685132;21082
642;210.6682040645;21076
643;179.5134979224;21076
644;151.6807267504;21076
645;128.7275980919;21076
646;147.2311918419;21106
647;125.9088353203;21106
648;153.4934686820;21109
649;184.1245806409;21108
650;173.0507132193;21108
651;213.1345119436;21110
652;259.4427202777;21091
653;196.5113745043;21091
654;168.0138786124;21091
655;139.7043644263;21091
656;146.8014794590;21098
657;133.1696196504;21098
658;154.1751752165;21099
659;174.9988256922;21100
660;142.3539047593;21100
661;159.2466784388;21101
662;190.4664539612;21100
663;163.4441393044;21100
664;156.2646653999;21100
665;129.3816697499;21100
666;140.6856468708;21110
667;158.1870041154;21111
668;193.7109729589;21096
669;228.9835825746;21095
670;195.9957797672;21095
671;211.9431014724;21096
672;194.3594008889;21096
673;167.2698251779;21096
674;141.7903341934;21096
675;175.3168810832;21097
676;217.3268822413;21053
677;174.9293591845;21053
678;177.4896119559;21063
679;210.5835153113;21065
680;190.4790404548;21065
681;209.8915772131;21066
682;191.6405091636;21066
683;163.7235591278;21066
684;136.8700489330;21066
685;167.0607122333;21065
686;203.7343021623;21044
687;174.8386563277;21044
688;193.2966310058;21045
689;206.2679320206;21043
690;192.2808357912;21043
691;164.9384799061;21043
692;184.7510199025;21061
693;157.9798418195;21061
694;145.6503434380;21061
695;172.1499714091;21062
696;212.4812118466;21052
697;181.9194515511;21052
698;200.7815978075;21053
699;220.8600120990;21055
700;189.1640174270;21055
701;163.7172041273;21055
702;168.8953859274;21063
703;142.4962319826;21063
704;116.1892271032;21063
705;141.0915815446;21061
706;168.8954635264;21059
707;161.9065129021;21059
708;178.3793252943;21060
709;200.0297284798;21058
710;170.9701354541;21058
711;146.3661924196;21058
712;162.4688042478;21075
713;131.1179511601;21075
714;112.1570481103;21075
715;124.3542266989;21077
716;150.0708720992;21076
717;171.1501806163;21075
718;193.3972353064;21074
719;209.1847525039;21076
720;178.8221138694;21076
721;168.1328050122;21076
722;183.9545455822;21092
723;171.6257873448;21092
724;137.7552607169;21092
725;164.3011181779;21091
726;206.2724662331;21090
727;171.6158419836;21090
728;180.9792584920;21092
729;242.5297814741;21090
730;233.1994162865;21090
731;199.6133093770;21090
732;219.5555673428;21158
733;182.9771370544;21158
734;148.8203229458;21158
735;181.0425417440;21159
736;219.3351304909;21158
737;187.6583212020;21158
738;226.9502836235;21159
739;194.0806640152;21159
740;213.0282755551;21163
741;268.2499314633;21116
742;323.7594629774;21107
743;276.2151261193;21107
744;257.9791917187;21107
745;309.4010311465;21106
746;264.5321529464;21106
747;219.2010076981;21106
748;203.7073933435;21106
749;203.8580412758;21108
750;247.5417116849;21105
751;264.7634173448;21101
752;312.6274054654;21044
753;268.8196019125;21044
754;229.8132172389;21044
755;275.4282094783;21045
756;223.6421083485;21045
757;183.1329175095;21045
758;147.0940365298;21045
759;176.9281754242;21042
760;213.2203877021;21041
761;258.5935165882;21037
762;311.3928916503;21036
763;274.0612175963;21036
764;229.0479536536;21036
765;278.1378221048;21035
766;258.7449670472;21035
767;221.2241287821;21035
768;190.6187508092;21035
769;170.9373129589;21035
770;188.6707329612;21042
771;227.2995672629;21037
772;275.1789833470;21027
773;235.2736782557;21027
774;198.9346310207;21027
775;216.3560620544;21028
776;177.1083334552;21028
777;151.2411401950;21028
778;129.4292747778;21028
779;142.2313189947;21032
780;171.2103177514;21028
781;205.7299706506;21027
782;247.4621432860;21024
783;235.7396858356;21024
784;199.1451278350;21024
785;211.1263731504;21023
786;182.9161084452;21023
787;148.4778703361;21023
788;131.1760002895;21023
789;160.5427936773;21019
790;197.0643261073;21016
791;240.4456324873;21015
792;289.2221555625;21012
793;239.1032896648;21012
794;204.1236398549;21012
795;224.0814150647;21013
796;203.2991175305;21013
797;177.7695516559;21013
798;151.1594491827;21013
799;183.9025390220;21016
800;219.2922917276;21015
801;187.8276427616;21015
802;229.4010875736;21070
803;187.0764270695;21070
804;158.6462568102;21070
805;188.9739445642;21069
806;145.8773877009;21069
807;179.8857727091;21070
808;240.5885735115;21062
809;289.1565694573;21060
810;247.2636308213;21060
811;274.1198890431;21078
812;365.0085423224;21069
813;313.1041371791;21069
814;271.9503667430;21069
815;231.7797109032;21069
816;256.7631407134;21088
817;201.9309916708;21088
818;222.1277217994;21090
819;256.8863789703;21092
820;219.9489841667;21092
821;238.9811515988;21125
822;294.7874882303;21090
823;238.5525112504;21090
824;184.0606107078;21090
825;222.7398698577;21091
826;264.0441985728;21081
827;224.6272739025;21081
828;230.5458103032;21086
829;276.5089436562;21084
830;241.0355587931;21084
831;265.3643593168;21088
832;318.8942050860;21086
833;261.6205634929;21086
