Iterations;Agent 1;Agent 2;Agent 3;Agent 4;Agent 5;Agent 6;Agent 7;Agent 8;Agent 9;Agent 10
126;755.842325452858;703.538955689811;647.3125820866094;641.2494901360539;802.8073378149359;650.3948279046197;643.4854795943646;799.5722438302131;653.3815746879329;647.2396547449106
127;715.7355314377888;697.9525283544587;644.1601943376257;644.0003662587142;799.4929306044585;653.5434209501086;646.6131982999354;802.7433026592994;644.4681797372622;644.4061149568497
128;740.8156444102816;822.1659192953962;641.2820506553583;646.7941560330763;802.7087000963046;646.1261664350068;649.3548418606986;799.5361962391286;647.1903600181956;647.5980317764639
129;300.95382627282595;703.0922985678941;646.8871666511507;649.795048172569;799.8490670861416;649.0987366511263;646.3936710198126;802.9893079090576;643.9762669817709;644.7257558529504
130;453.3643800160578;492.1951159614764;643.7292860272925;647.0047924089646;803.1066354759142;651.9056631423222;649.1661510790842;799.8156123063205;646.6880688823143;641.7861961016115
131;240.60752794987852;222.06582409871888;640.9460247600035;643.7523948882508;799.585494200475;648.829172041628;646.2432754012432;803.4065001970208;649.4184592991229;644.8505412621332
132;411.49544601201563;462.19582004414406;643.7231281212363;646.4938742760769;803.3935737557729;651.6245682287978;643.2983742742096;799.3943702754727;646.4567654603794;641.6677847898479
133;213.0838420301134;570.2171651854167;640.7771799344395;643.366626280086;799.0593356024253;646.3441662522363;646.3316723156223;803.1989683669058;649.5481715765951;644.7095532149036
134;378.2401763288733;415.2675657468807;643.7457606228935;646.5428905029265;803.1973232281806;643.5363470618789;649.0871663661135;799.313787420943;646.3184366351178;641.8209807831555
135;516.4426481116839;562.0032200042278;640.8077489741147;643.4206602694528;799.5057866271884;646.6519300031596;645.9803798066208;803.1397160979094;649.1415900112032;645.0979598346529
136;676.5173952381575;729.7665569860499;644.0867445118;646.2587985428444;802.7861488549133;643.6189845545056;649.1687009633758;799.1604865255391;646.2809568245594;648.1633879469076
137;714.6272178725533;815.6391078434262;641.118530931628;649.2708280400946;799.1244810021784;646.5296456238971;645.9608541013309;802.914564926404;643.4497459151464;651.0826222834705
138;816.8617925940684;703.1869937879725;644.0650883410455;652.3409713891473;803.069381893245;643.7416965038042;649.0701382824956;799.1267213965964;640.2120283388239;647.8953081639881
139;676.4146185969636;348.84898774526073;641.3585859664807;649.3814341909217;799.0896063218845;646.5195616163762;646.1956909196999;803.4562979221736;643.4353716641376;650.7578138800219
140;504.6950597380086;484.1544920610345;644.4209509567278;652.427726228759;803.3329782685214;643.4834059582802;649.0045072076439;798.7223431254811;640.263818246564;647.9031010219269
141;731.965674113778;246.77311594741886;641.5536577056821;648.8530197599226;798.4800201430563;646.4625608181113;646.0814484737525;803.3295148211739;643.5746469343912;650.7105695510375
142;480.0812351517708;407.6459863997739;644.2818010556508;651.5941181766266;803.3733756938382;643.4574134255957;649.3345063940466;798.8263721260829;640.8290846712086;647.7394365194499
143;575.6014757556017;220.95863182933616;641.0938498027741;648.3815143334118;798.6933186735096;646.7011538273024;646.1110011352732;803.013811590744;644.0544437232718;650.9492442930473
144;419.87204981922906;360.07788893043005;644.2893615976292;645.3029256483304;802.9849889144316;643.8920001895001;649.0646739636514;798.6389348156532;647.0272314743086;647.6850812028115
145;513.1578403365481;175.70467705103454;641.5267284280078;642.4719566840844;799.06258583646;647.1579547132286;646.1358893898808;802.8026223914362;650.2389076357309;644.9663352972066
146;319.66983102176494;341.3514738592695;644.4486673312855;639.4197586759688;802.8050811394359;644.0283228953795;649.0523498548332;799.3112082191834;647.2339838263089;647.6962853457333
147;173.30894592187764;473.7027050064444;641.607022769978;644.462319181057;799.0464080963693;646.8478419557982;645.8573380622449;802.5789650436609;650.253726977596;644.836586141119
148;326.14771766330637;342.6529989900746;644.8355634072387;647.2192791648108;802.3577749754253;644.0898962409555;649.1362591191061;798.8932036304725;646.9523671528522;641.7065762778979
149;512.5227741485515;506.58693824325786;642.0790952523918;643.9389307283382;799.1869868255346;647.3570078542801;646.1596146262049;802.2375926580944;649.8421384013028;644.7715449147876
150;272.419991614546;655.7792356266457;645.0739733040382;646.7643253776664;802.300962362864;644.6029607237756;649.1565441281265;799.4594304367281;647.0571793666568;641.5522694029952
151;428.5567652609682;478.9085885283529;641.8933533831081;649.701735812139;799.4484025789502;647.3970995122486;645.9243994124334;802.6948298748449;643.7855423410933;644.5077505196589
152;611.2620938316327;609.4111433788406;644.8692642128516;646.793234178161;802.6769913859723;644.672032217205;642.6337249996097;799.2432749483869;646.541335460495;641.7734613292803
153;279.1098572741142;730.572688787898;641.9827751872302;643.648308674058;799.4789936389304;647.7176543817188;639.4084908962159;802.3490667761905;649.5646564112056;644.5071833763116
154;458.71999363932025;445.9653444081129;645.259037867099;646.8415730779255;802.4140582385681;650.7953784301698;642.5185095191905;799.600460082049;646.3857340555595;641.5867385650826
155;217.4935181483517;217.24499688667265;648.1673557380967;643.9272596655723;799.5463600001153;646.8480264295765;639.7616107670539;802.7107875583159;649.4459465036513;644.6597992142302
156;445.79926207083173;455.7190393336624;651.0343108950249;646.8253317692918;802.3981613956429;650.0964777602003;644.2458446843551;799.4110713918085;646.2151285996098;641.5326122502611
